Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd]
1237,"Nonoroon renifle-nid",0,"Nonoroon renifle-nid",0,0,1,0,1
1238,"Ratata l'enragée",0,"Ratata l'enragée",0,0,1,1,1
1239,"matelot des Dogues de mer",0,"matelots des Dogues de mer",0,0,1,0,0
1240,"pilote des Dogues de mer",0,"pilotes des Dogues de mer",0,0,1,0,0
1241,"caisse de céréales",0,"caisses de céréales",0,0,1,1,0
1242,"Nayokk Roh le trafiquant",0,"Nayokk Roh le trafiquant",0,0,1,0,1
1243,"Zuzuroon le grippe-sou",0,"Zuzuroon le grippe-sou",0,0,1,0,1
1244,"Qiqirn fricoteur",0,"Qiqirns fricoteurs",0,0,1,0,0
1245,"Chachamun",0,"Chachamun",0,0,1,0,1
1246,"Bertram",0,"Bertram",0,0,1,0,1
1247,"Tiny Aurochs",0,"Tiny Aurochs",0,0,1,0,1
1248,"Rururaji",0,"Rururaji",0,0,1,0,1
1249,"Jajanzo",0,"Jajanzo",0,0,1,0,1
1250,"Aldebrand",0,"Aldebrand",0,1,1,0,1
1251,"Ligart",0,"Ligart",0,0,1,0,1
1252,"E'tajha yeux-de-saphir",0,"E'tajha yeux-de-saphir",0,1,1,1,1
1253,"E'lahmui yeux-de-rubis",0,"E'lahmui yeux-de-rubis",0,1,1,1,1
1254,"Hunberct le rasoir",0,"Hunberct le rasoir",0,0,1,0,1
1255,"lame de cuivre",0,"lames de cuivre",0,0,1,1,0
1256,"caisse de marchandises",0,"caisses de marchandises",0,0,1,1,0
1257,"pillard amateur",0,"pillards amateurs",0,0,1,0,0
1258,"gilkhélone",0,"gilkhélones",0,0,1,1,0
1259,"verrat à lard",0,"verrats à lard",0,0,1,0,0
1260,"spriggan dompté",0,"spriggans domptés",0,0,1,0,0
1261,"saute-saillie",0,"saute-saillie",0,0,1,0,0
1262,"rocher",0,"rochers",0,0,1,0,0
1263,"condor picoreur",0,"condors picoreurs",0,0,1,0,0
1264,"goobbue ancien",0,"goobbues anciens",0,0,1,0,0
1265,"Tamlyn la toxique",0,"Tamlyn la toxique",0,0,1,1,1
1266,"confiture moisie",0,"confitures moisies",0,0,1,1,0
1267,"bulle putride",0,"bulles putrides",0,0,1,1,0
1268,"bulle acide",0,"bulles acides",0,0,1,1,0
1269,"Buso",0,"Buso",0,0,1,0,1
1270,"chien du néant",0,"chiens du néant",0,0,1,0,0
1271,"gardien d'Ak-Mena",0,"gardiens d'Ak-Mena",0,0,1,0,0
1272,"casaque jaune",0,"casaques jaunes",0,0,1,1,0
1273,"soldat du Maelstrom",0,"soldats du Maelstrom",0,0,1,0,0
1274,"garde privé de Gegeruju",0,"gardes privés de Gegeruju",0,0,1,0,0
1275,"soldat des Immortels",0,"soldats des Immortels",0,0,1,0,0
1276,"torche d'acier",0,"torches d'acier",0,0,1,1,0
1277,"lame de cuivre",0,"lames de cuivre",0,0,1,1,0
1278,"chasseuse de la tribu des U",0,"chasseuses de la tribu des U",0,0,1,1,0
1279,"Aiatar",0,"Aiatar",0,1,1,0,1
1280,"grand pélican jaune",0,"grands pélicans jaunes",0,0,1,0,0
1281,"dronte échine-bleue",0,"drontes échine-bleue",0,0,1,0,0
1282,"dronte échine-pourpre",0,"drontes échine-pourpre",0,0,1,0,0
1283,"dronte échine-brune",0,"drontes échine-brune",0,0,1,0,0
1284,"draconide des brasiers",0,"draconides des brasiers",0,0,1,0,0
1285,"biast des tempêtes",0,"biasts des tempêtes",0,0,1,0,0
1286,"ménopome",0,"ménopomes",0,0,1,0,0
1287,"galago des ravines",0,"galagos des ravines",0,0,1,0,0
1288,"otyugh de cueillepluies",0,"otyughs de cueillepluies",0,1,1,0,0
1289,"colibri chamarré",0,"colibris chamarrés",0,0,1,0,0
1290,"chasse-comète",0,"chasse-comète",0,0,1,0,0
1291,"biast des limons",0,"biasts des limons",0,0,1,0,0
1292,"draconide des cendres",0,"draconides des cendres",0,0,1,0,0
1293,"chien-wyrm",0,"chiens-wyrms",0,0,1,0,0
1294,"jeune triton du ressac",0,"jeunes tritons du ressac",0,0,1,0,0
1295,"pugil des marais",0,"pugils des marais",0,0,1,0,0
1296,"dronte échine-pourpre",0,"drontes échine-pourpre",0,0,1,0,0
1297,"coeurl des jungles profondes",0,"coeurls des jungles profondes",0,0,1,0,0
1298,"fureteur gobelin",0,"fureteurs gobelins",0,0,1,0,0
1299,"fureteur gobelin",0,"fureteurs gobelins",0,0,1,0,0
1300,"Brayflox mains-propres",0,"Brayflox mains-propres",0,0,1,0,1
1301,"Gigirya",0,"Gigirya",0,0,1,0,1
1302,"hécatonchire brisepierre",0,"hécatonchires brisepierre",0,1,1,0,0
1303,"engin explosif",0,"engins explosifs",0,1,1,0,0
1304,"épéiste des Alacrán",0,"épéistes des Alacrán",0,1,1,0,0
1305,"pugiliste des Alacrán",0,"pugilistes des Alacrán",0,0,1,0,0
1306,"archer des Alacrán",0,"archers des Alacrán",0,1,1,0,0
1307,"occultiste des Alacrán",0,"occultistes des Alacrán",0,1,1,0,0
1308,"bandit poignardeur",0,"bandits poignardeurs",0,0,1,0,0
1309,"bandit trappeur",0,"bandits trappeurs",0,0,1,0,0
1310,"bandit mage",0,"bandits mage",0,0,1,0,0
1311,"bandit archer",0,"bandits archer",0,0,1,0,0
1312,"coeurl solitaire",0,"coeurls solitaires",0,0,1,0,0
1313,"buffle",0,"buffles",0,0,1,0,0
1314,"maraudeur en armure",0,"maraudeurs en armure",0,0,1,0,0
1315,"moucherolle querelleur",0,"moucherolles querelleurs",0,0,1,0,0
1316,"piquebœuf géant",0,"piquebœufs géants",0,0,1,0,0
1317,"tuco-tuco à piquants d'acier",0,"tuco-tuco à piquants d'acier",0,0,1,0,0
1318,"acarus grouillant",0,"acari grouillants",0,1,1,0,0
1319,"instructeur brutal",0,"instructeurs brutaux",0,1,1,0,0
1320,"fermier ennuyé",0,"fermiers ennuyés",0,0,1,0,0
1321,"meunière ennuyée",0,"meunières ennuyées",0,0,1,1,0
1322,"ouvrier dans l'embarras",0,"ouvriers dans l'embarras",0,1,1,0,0
1323,"travailleur zélé",0,"travailleurs zélés",0,0,1,0,0
1324,"pêcheur dans l'embarras",0,"pêcheurs dans l'embarras",0,0,1,0,0
1325,"jeune Chris",0,"jeunes Chris",0,0,1,0,0
1326,"Aismurl membre-d'or",0,"Aismurl membre-d'or",0,1,1,0,1
1327,"pervers",0,"pervers",0,0,1,0,0
1328,"bûcheron entomophobe",0,"bûcherons entomophobes",0,0,1,0,0
1329,"Jody l'aigrie",0,"Jody l'aigrie",0,0,1,1,1
1330,"livreur d'hydromel",0,"livreurs d'hydromel",0,0,1,0,0
1331,"sergent des tempêtes",0,"sergents des tempêtes",0,0,1,0,0
1332,"soldat 3e classe des tempêtes",0,"soldats 3e classe des tempêtes",0,0,1,0,0
1333,"livreur fuyard",0,"livreurs fuyards",0,0,1,0,0
1334,"métayer du Coq rouge",0,"métayers du Coq rouge",0,0,1,0,0
1335,"jouvencelle rêveuse",0,"jouvencelles rêveuses",0,0,1,1,0
1336,"homme nerveux",0,"hommes nerveux",0,1,1,0,0
1337,"vétéran des casaques jaunes",0,"vétérans des casaques jaunes",0,0,1,0,0
1338,"bleu des casaques jaunes",0,"bleus des casaques jaunes",0,0,1,0,0
1339,"homme craignant les fantômes",0,"hommes craignant les fantômes",0,1,1,0,0
1340,"homme incrédule",0,"hommes incrédules",0,1,1,0,0
1341,"aventurier vaincu",0,"aventuriers vaincus",0,1,1,0,0
1342,"spriggan fauche-cuivre",0,"spriggans fauche-cuivre",0,0,1,0,0
1343,"éclaireur des Immortels",0,"éclaireurs des Immortels",0,1,1,0,0
1344,"draconide de combat amélioré",0,"draconides de combat améliorés",0,0,1,0,0
1345,"recrue des casaques jaunes",0,"recrues des casaques jaunes",0,0,1,1,0
1346,"coursière du Maelstrom",0,"coursières du Maelstrom",0,0,1,1,0
1347,"marchand blessé",0,"marchands blessés",0,0,1,0,0
1348,"fille affamée",0,"filles affamées",0,0,1,1,0
1349,"imp bloqueur",0,"imps bloqueurs",0,1,1,0,0
1350,"limace déshydratée",0,"limaces déshydratées",0,0,1,1,0
1351,"chercheur en magie ancienne",0,"chercheurs en magie ancienne",0,0,1,0,0
1352,"pêcheur à la fibre paternelle",0,"pêcheurs à la fibre paternelle",0,0,1,0,0
1353,"dresseur de draconide amalj'aa",0,"dresseurs de draconide amalj'aa",0,0,1,0,0
1354,"imp chahuteur",0,"imps chahuteurs",0,1,1,0,0
1355,"cultivateur contrarié",0,"cultivateurs contrariés",0,0,1,0,0
1356,"pêcheur décontenancé",0,"pêcheurs décontenancés",0,0,1,0,0
1357,"prince mandragore",0,"princes mandragores",0,0,1,0,0
1358,"fermier fou de rage",0,"fermiers fou de rage",0,0,1,0,0
1359,"capitaine d'infanterie des casaques",0,"capitaines d'infanterie des casaques",0,0,1,0,0
1360,"négociant gobelin",0,"négociants gobelins",0,0,1,0,0
1361,"pourvoyeur imprudent",0,"pourvoyeurs imprudents",0,0,1,0,0
1362,"nid de dodo",0,"nids de dodo",0,0,1,0,0
1363,"cueilleuse d'huîtres",0,"cueilleuses d'huîtres",0,0,1,1,0
1364,"triarius de la 4e cohorte",0,"triarii de la 4e cohorte",0,0,1,0,0
1365,"imaginifer de la 4e cohorte",0,"imaginiferi de la 4e cohorte",0,1,1,0,0
1366,"chien de guerre de la 4e cohorte",0,"chiens de guerre de la 4e cohorte",0,0,1,0,0
1367,"videur du Coffre et le Cercueil",0,"videurs du Coffre et le Cercueil",0,0,1,0,0
1368,"docker",0,"dockers",0,0,1,0,0
1369,"marchand contrarié",0,"marchands contrariés",0,0,1,0,0
1370,"citadine apeurée",0,"citadines apeurées",0,0,1,1,0
1371,"soldat 3e classe des sables",0,"soldats 3e classe des sables",0,0,1,0,0
1372,"Ge Bu vougier du 382e ordre",0,"Ge Bu vougier du 382e ordre",0,0,1,0,1
1373,"Baenryss le noyé",0,"Baenryss le noyé",0,0,1,0,1
1374,"Miqo'te mystérieuse",0,"Miqo'tes mystérieuses",0,0,1,1,0
1375,"pugiliste exubérante",0,"pugilistes exubérantes",0,0,1,1,0
1376,"occultiste tatillon",0,"occultistes tatillons",0,1,1,0,0
1377,"bel homme",0,"beaux hommes",0,0,1,0,0
1378,"Fufulupa l'inflexible",0,"Fufulupa l'inflexible",0,0,1,0,1
1379,"",0,"",0,0,0,0,0
1380,"Baron Quiveron quatrième du nom",0,"Baron Quiveron quatrième du nom",0,0,1,0,1
1381,"Baldewyn Fourbelance",0,"Baldewyn Fourbelance",0,0,1,0,1
1382,"capitaine Madison",0,"capitaines Madison",0,0,1,0,0
1383,"mousse suspecte",0,"mousse suspecte",0,0,1,1,0
1384,"petite bombe",0,"petites bombes",0,0,1,1,0
1385,"bombe",0,"bombes",0,0,1,1,0
1386,"grosse bombe",0,"grosses bombes",0,0,1,1,0
1387,"geôlier amalj'aa",0,"geôliers amalj'aa",0,0,1,0,0
1388,"brigand amalj'aa",0,"brigands amalj'aa",0,0,1,0,0
1389,"charognard amalj'aa",0,"charognards amalj'aa",0,0,1,0,0
1390,"brasière enflammée",0,"brasières enflammées",0,0,1,1,0
1391,"Curious Gorge",0,"Curious Gorge",0,0,1,0,1
1392,"furie primitive",0,"furies primitives",0,0,1,1,0
1393,"colère primitive",0,"colères primitives",0,0,1,1,0
1394,"Estinien",0,"Estinien",0,1,1,0,1
1395,"Jehantel",0,"Jehantel",0,0,1,0,1
1396,"Batraal",0,"Batraal",0,0,1,0,1
1397,"œil omniscient",0,"yeux omniscients",0,1,1,0,0
1398,"Eos",0,"Eos",0,1,1,1,1
1399,"Selene",0,"Selene",0,0,1,1,1
1400,"Carbuncle topaze",0,"Carbuncle topaze",0,0,1,0,1
1401,"Carbuncle émeraude",0,"Carbuncle émeraude",0,0,1,0,1
1402,"Ifrit-Egi",0,"Ifrit-Egi",0,1,1,0,1
1403,"Titan-Egi",0,"Titan-Egi",0,0,1,0,1
1404,"Garuda-Egi",0,"Garuda-Egi",0,0,1,1,1
1405,"",0,"",0,0,0,0,0
1406,"",0,"",0,0,1,0,0
1407,"",0,"",0,0,0,0,0
1408,"",0,"",0,0,0,0,0
1409,"",0,"",0,0,0,0,0
1410,"",0,"",0,0,0,0,0
1411,"",0,"",0,0,0,0,0
1412,"",0,"",0,0,0,0,0
1413,"",0,"",0,0,0,0,0
1414,"",0,"",0,0,0,0,0
1415,"Taulurd",0,"Taulurd",0,0,1,0,1
1416,"Widargelt le gardien",0,"Widargelt le gardien",0,0,1,0,1
1417,"sirène",0,"sirènes",0,0,1,1,0
1418,"Biggs",0,"Biggs",0,0,1,0,1
1419,"Wulfiue",0,"Wulfiue",0,0,1,1,1
1420,"corruption aérienne",0,"corruptions aériennes",0,0,1,1,0
1421,"Jenlyns l'impartial",0,"Jenlyns l'impartial",0,0,1,0,1
1422,"Raya-O-Senna",0,"Raya-O-Senna",0,0,1,1,1
1423,"A-Ruhn-Senna",0,"A-Ruhn-Senna",0,1,1,0,1
1424,"corruption terrestre",0,"corruptions terrestres",0,0,1,1,0
1425,"Nolanel",0,"Nolanel",0,0,1,0,1
1426,"Joacin",0,"Joacin",0,0,1,0,1
1427,"Dunstan le duveteux",0,"Dunstan le duveteux",0,0,1,0,1
1428,"gavial",0,"gavial",0,0,1,0,0
1429,"Gargamelle",0,"Gargamelle",0,0,1,1,1
1430,"follet de glace",0,"follets de glace",0,0,1,0,0
1431,"Seps",0,"Seps",0,0,1,0,1
1432,"Rongeur d'os",0,"Rongeur d'os",0,0,1,0,0
1433,"Clytios",0,"Clytios",0,0,1,0,1
1434,"Roc",0,"Roc",0,0,1,0,1
1435,"Sutali Hueloc du vent du Nord",0,"Sutali Hueloc du vent du Nord",0,0,1,0,1
1436,"Sateli Hueloc du vent du Sud",0,"Sateli Hueloc du vent du Sud",0,0,1,0,1
1437,"Sotoli Hueloc du vent de l'Ouest",0,"Sotoli Hueloc du vent de l'Ouest",0,0,1,0,1
1438,"Sethuli Hueloc du vent de l'Est",0,"Sethuli Hueloc du vent de l'Est",0,0,1,0,1
1439,"Gozol Itzcan le tronçonneur",0,"Gozol Itzcan le tronçonneur",0,0,1,0,1
1440,"Svara",0,"Svara",0,0,1,0,1
1441,"Nburu",0,"Nburu",0,0,1,0,1
1442,"Porus",0,"Porus",0,0,1,0,1
1443,"Dioné",0,"Dioné",0,0,1,1,1
1444,"Gwyllgi",0,"Gwyllgi",0,0,1,0,1
1445,"Steropes",0,"Steropes",0,0,1,0,1
1446,"gorgimère",0,"gorgimères",0,0,1,1,0
1447,"Deuxième œil",0,"Deuxièmes yeux",0,0,1,0,0
1448,"charognard ailé",0,"charognards ailés",0,0,1,0,0
1449,"guerrier des enfers",0,"guerriers des enfers",0,0,1,0,0
1450,"Arbre gardien",0,"Arbres gardiens",0,1,1,0,0
1451,"flammerole",0,"flammeroles",0,0,1,1,0
1452,"A-Towa-Cant",0,"A-Towa-Cant",0,1,1,0,1
1453,"Da za clerc du 269e ordre",0,"Da za clerc du 269e ordre",0,0,1,0,1
1454,"Alderique l'inflexible",0,"Alderique l'inflexible",0,1,1,0,1
1455,"Haurchefant",0,"Haurchefant",0,1,1,0,1
1456,"Pascaleret",0,"Pascaleret",0,0,1,0,1
1457,"Guillaime",0,"Guillaime",0,0,1,0,1
1458,"Vairemont",0,"Vairemont",0,0,1,0,1
1459,"sphère de contrôle",0,"sphères de contrôle",0,0,1,1,0
1460,"sphère de défense",0,"sphères de défense",0,0,1,1,0
1461,"golem lunaire de matière sombre",0,"golems lunaires de matière sombre",0,0,1,0,0
1462,"coeurl de matière sombre",0,"coeurls de matière sombre",0,0,1,0,0
1463,"ptéroc de matière sombre",0,"ptérocs de matière sombre",0,0,1,0,0
1464,"mante de matière sombre",0,"mantes de matière sombre",0,0,1,1,0
1465,"pélican de matière sombre",0,"pélicans de matière sombre",0,0,1,0,0
1466,"caducée",0,"caducées",0,0,1,0,0
1467,"gluant de matière sombre",0,"gluants de matière sombre",0,0,1,0,0
1468,"sphère d'aseptisation",0,"sphères d'aseptisation",0,0,1,1,0
1469,"sphère d'interception",0,"sphères d'interception",0,0,1,1,0
1470,"sphère de purification",0,"sphères de purification",0,0,1,1,0
1471,"sphère de surveillance",0,"sphères de surveillance",0,0,1,1,0
1472,"sphère de protection",0,"sphères de protection",0,0,1,1,0
1473,"sphère d'incinération",0,"sphères d'incinération",0,0,1,1,0
1474,"insecte mécanique",0,"insectes mécaniques",0,1,1,0,0
1475,"soldat mécanique",0,"soldats mécaniques",0,0,1,0,0
1476,"drone-drille",0,"drones-drilles",0,0,1,0,0
1477,"chevalier mécanique",0,"chevaliers mécaniques",0,0,1,0,0
1478,"cuirassé Dreadnaught",0,"cuirassés Dreadnaught",0,0,1,0,0
1479,"limace de matière sombre",0,"limaces de matière sombre",0,0,1,1,0
1480,"pugil de matière sombre",0,"pugils de matière sombre",0,0,1,0,0
1481,"aurélie de matière sombre",0,"aurélie de matière sombre",0,1,1,1,0
1482,"Gémellia",0,"Gémellia",0,0,1,1,1
1483,"Hygie",0,"Hygie",0,1,1,1,1
1484,"Asclépios",0,"Asclépios",0,1,1,0,1
1485,"chevalier cobalt",0,"chevaliers cobalt",0,0,1,0,0
1486,"Cid",0,"Cid",0,0,1,0,1
1487,"armure magitek",0,"armures magitek",0,1,1,1,0
1488,"Gundobald",0,"Gundobald",0,0,1,0,1
1489,"Wilred",0,"Wilred",0,0,1,0,1
1490,"pierre d'âme",0,"pierres d'âme",0,0,1,1,0
1491,"",0,"",0,0,0,0,0
1492,"Urianger",0,"Urianger",0,1,1,0,1
1493,"K'lyhia",0,"K'lyhia",0,0,1,1,1
1494,"Geissfryn",0,"Geissfryn",0,0,1,0,1
1495,"Aersthota",0,"Aersthota",0,1,1,1,1
1496,"Thubyrgeim",0,"Thubyrgeim",0,0,1,1,1
1497,"mouche volante",0,"mouches volantes",0,0,1,1,0
1498,"Amanuensis",0,"Amanuensis",0,1,1,0,1
1499,"esclave du néant profond",0,"esclaves du néant profond",0,1,1,0,0
1500,"Doesmaga",0,"Doesmaga",0,0,1,0,1
1501,"ondulation éthérée",0,"ondulations éthérées",0,1,1,1,0
1502,"Wedge",0,"Wedge",0,0,1,0,1
1503,"Éétès",0,"Éétès",0,1,1,0,1
1504,"Badouh",0,"Badouh",0,0,1,0,1
1505,"Aspidochélon",0,"Aspidochélon",0,1,1,0,1
1506,"Pegujj Chah le fuligineux",0,"Pegujj Chah le fuligineux",0,0,1,0,1
1507,"Hepugg Roh l'étincelant",0,"Hepugg Roh l'étincelant",0,0,1,0,1
1508,"Arimaspe",0,"Arimaspe",0,1,1,0,1
1509,"prototype d'avant-garde magitek",0,"prototypes d'avant-garde magitek",0,0,1,0,0
1510,"Racumon",0,"Racumon",0,0,1,0,1
1511,"bombo baron",0,"bombos barons",0,0,1,0,0
1512,"Addison",0,"Addison",0,1,1,0,1
1513,"Milburh",0,"Milburh",0,0,1,1,1
1514,"Milburh la malveillante",0,"Milburh la malveillante",0,0,1,1,1
1515,"Sekhmet",0,"Sekhmet",0,0,1,1,1
1516,"géant vert",0,"géants verts",0,0,1,0,0
1517,"Metshaldjas",0,"Metshaldjas",0,0,1,1,1
1518,"Voll peau de requin",0,"Voll peau de requin",0,0,1,0,1
1519,"Oannes",0,"Oannes",0,1,1,0,1
1520,"Karkinos",0,"Karkinos",0,0,1,0,1
1521,"Zoredonite",0,"Zoredonite",0,0,1,1,1
1522,"Bugaal Ja le balafré",0,"Bugaal Ja le balafré",0,0,1,0,1
1523,"Ose",0,"Ose",0,1,1,0,1
1524,"Be Ze piocheur du 59e ordre",0,"Be Ze piocheur du 59e ordre",0,0,1,0,1
1525,"Brounger",0,"Brounger",0,0,1,0,1
1526,"Peryton",0,"Peryton",0,0,1,0,1
1527,"numéro 128",0,"numéro 128",0,0,1,0,1
1528,"Balidet",0,"Balidet",0,0,1,0,1
1529,"mante royale",0,"mantes royales",0,0,1,1,0
1530,"Sobek",0,"Sobek",0,0,1,0,1
1531,"Alka Zolka le penseur",0,"Alka Zolka le penseur",0,1,1,0,1
1532,"maîtresse du Grigou",0,"maîtresses du Grigou",0,0,1,1,0
1533,"Trésorier",0,"Trésoriers",0,0,1,0,0
1534,"Serrurier",0,"Serruriers",0,0,1,0,0
1535,"pousse de morbol",0,"pousses de morbol",0,0,1,1,0
1536,"fruit de morbol",0,"fruits de morbol",0,0,1,0,0
1537,"gros fruit de morbol",0,"gros fruits de morbol",0,0,1,0,0
1538,"morbol vigne d'or",0,"morbols vigne d'or",0,0,1,0,0
1539,"chauve-souris du Val",0,"chauves-souris du Val",0,0,1,1,0
1540,"guêpe du Val",0,"guêpes du Val",0,0,1,1,0
1541,"vesse-de-batracien",0,"vesses-de-batracien",0,0,1,1,0
1542,"lys du Val",0,"lys du Val",0,0,1,0,0
1543,"nix des profondeurs",0,"nix des profondeurs",0,0,1,0,0
1544,"sarcopte du Val",0,"sarcoptes du Val",0,0,1,0,0
1545,"acarus du Val",0,"acari du Val",0,1,1,0,0
1546,"paysan empoisonné",0,"paysans empoisonnés",0,0,1,0,0
1547,"tomberry roi",0,"tomberrys rois",0,0,1,0,0
1548,"gardien du sanctuaire",0,"gardiens du sanctuaire",0,0,1,0,0
1549,"bavarois géant",0,"bavarois géants",0,0,1,0,0
1550,"tomberry trancheur",0,"tomberrys trancheurs",0,0,1,0,0
1551,"bavarois blanc",0,"bavarois blancs",0,0,1,0,0
1552,"bavarois vert",0,"bavarois verts",0,0,1,0,0
1553,"bavarois jaune",0,"bavarois jaunes",0,0,1,0,0
1554,"bavarois violet",0,"bavarois violets",0,0,1,0,0
1555,"bavarois bleu",0,"bavarois bleus",0,0,1,0,0
1556,"tomberry traqueur",0,"tomberrys traqueurs",0,0,1,0,0
1557,"Nymien corrompu",0,"Nymiens corrompus",0,0,1,0,0
1558,"prêtre nymien corrompu",0,"prêtres nymiens corrompus",0,0,1,0,0
1559,"scarabée de bronze",0,"scarabées de bronze",0,0,1,0,0
1560,"huile de rouage",0,"huiles de rouage",0,1,1,1,0
1561,"graisse d'engrenage",0,"graisses d'engrenage",0,0,1,1,0
1562,"pugil pugnace",0,"pugils pugnaces",0,0,1,0,0
1563,"busard de bronze",0,"busards de bronze",0,0,1,0,0
1564,"gluant vert",0,"gluants verts",0,0,1,0,0
1565,"soldat de Nym",0,"soldats de Nym",0,0,1,0,0
1566,"chasseur de trésors",0,"chasseurs de trésors",0,0,1,0,0
1567,"teratotaurus",0,"teratotauri",0,0,1,0,0
1568,"guêpe de fumier",0,"guêpes de fumier",0,0,1,1,0
1569,"gardien du temple",0,"gardiens du temple",0,0,1,0,0
1570,"adjucateur",0,"adjucateurs",0,1,1,0,0
1571,"juré",0,"jurés",0,0,1,0,0
1572,"Avoirdupois",0,"Avoirdupois",0,1,1,0,1
1573,"visage de Qarn",0,"visages de Qarn",0,0,1,0,0
1574,"chauve-souris du temple",0,"chauves-souris du temple",0,0,1,1,0
1575,"abeille du temple",0,"abeilles du temples",0,1,1,1,0
1576,"accusé",0,"accusés",0,1,1,0,0
1577,"griffe de la mort",0,"griffes de la mort",0,0,1,1,0
1578,"grimpe-mur",0,"grimpe-murs",0,0,1,0,0
1579,"crocodile du temple",0,"crocodiles du temple",0,0,1,0,0
1580,"condamné",0,"condamnés",0,0,1,0,0
1581,"sentinelle des Durendaire",0,"sentinelles des Durendaire",0,0,1,1,0
1582,"sentinelle des Fortemps",0,"sentinelles des Fortemps",0,0,1,1,0
1583,"sentinelle ishgardaise",0,"sentinelles ishgardaises",0,0,1,1,0
1584,"sentinelle chevronnée",0,"sentinelles chevronnées",0,0,1,1,0
1585,"princesse myrmidone",0,"princesses myrmidones",0,0,1,1,0
1586,"maréchal myrmidon",0,"maréchaux myrmidons",0,0,1,0,0
1587,"garde myrmidon",0,"gardes myrmidons",0,0,1,0,0
1588,"soldat myrmidon",0,"soldats myrmidons",0,0,1,0,0
1589,"ver des tunnels géant",0,"vers des tunnels géants",0,0,1,0,0
1590,"chimère",0,"chimères",0,0,1,1,0
1591,"sentinelle myrmidone",0,"sentinelles myrmidones",0,0,1,1,0
1592,"chauve-souris des sables",0,"chauves-souris des sables",0,0,1,1,0
1593,"basilic des sables mouvants",0,"basilics des sables mouvants",0,0,1,0,0
1594,"pampa déserteur",0,"pampas déserteurs",0,0,1,0,0
1595,"condor des canyons",0,"condors des canyons",0,0,1,0,0
1596,"tempête de sable",0,"tempêtes de sable",0,0,1,1,0
1597,"coquesable",0,"coquesables",0,0,1,1,0
1598,"doblyn de schorl",0,"doblyns de schorl",0,0,1,0,0
1599,"sable glissant",0,"sables glissants",0,0,1,0,0
1600,"spriggan crieur",0,"spriggans crieurs",0,0,1,0,0
1601,"golem d'arkose",0,"golems d'arkose",0,0,1,0,0
1602,"sentinelle des Dzemael",0,"sentinelles des Dzemael",0,0,1,1,0
1603,"sentinelle des Haillenarte",0,"sentinelles des Haillenarte",0,0,1,1,0
1604,"chocobo de bât",0,"chocobos de bât",0,0,1,0,0
1605,"sentinelle blessée des Fortemps",0,"sentinelles blessées des Fortemps",0,0,1,1,0
1606,"goobbue appelé",0,"goobbues appelés",0,0,1,0,0
1607,"morbol bourgeonnant",0,"morbols bourgeonnants",0,0,1,0,0
1608,"buffle rueur",0,"buffles rueurs",0,0,1,0,0
1609,"pèlerin ishgardais",0,"pèlerins ishgardais",0,0,1,0,0
1610,"Viviane la voluptueuse",0,"Viviane la voluptueuse",0,0,1,1,1
1611,"goobbue des neiges",0,"goobbues des neiges",0,0,1,0,0
1612,"goobbue des hautes terres",0,"goobbues des hautes terres",0,0,1,0,0
1613,"flamme de la rancœur",0,"flammes de la rancœur",0,0,1,1,0
1614,"griffe de l'ombre",0,"griffes de l'ombre",0,0,1,1,0
1615,"œil de l'ombre",0,"yeux de l'ombre",0,1,1,0,0
1616,"toucher de l'ombre",0,"touchers de l'ombre",0,0,1,0,0
1617,"souffle de l'ombre",0,"souffles de l'ombre",0,0,1,0,0
1618,"reine des bombos",0,"reines des bombos",0,0,1,1,0
1619,"bombo serviteur",0,"bombos serviteurs",0,0,1,0,0
1620,"bombo domestique",0,"bombos domestiques",0,0,1,0,0
1621,"bombo baronnet",0,"bombos baronnets",0,0,1,0,0
1622,"chandelle votive",0,"chandelles votives",0,0,1,1,0
1623,"guimauve rouge",0,"guimauves rouges",0,0,1,1,0
1624,"camio",0,"camios",0,0,1,1,0
1625,"gargouille creuse",0,"gargouilles greuses",0,0,1,1,0
1626,"gigas bonze",0,"gigas bonzes",0,0,1,0,0
1627,"gigas shramana",0,"gigas shramanas",0,0,1,0,0
1628,"gigas sôzu",0,"gigas sôzu",0,0,1,0,0
1629,"Crios",0,"Crios",0,0,1,0,1
1630,"géant éventreur",0,"géants éventreurs",0,0,1,0,0
1631,"géant matraqueur",0,"géants matraqueurs",0,0,1,0,0
1632,"Eurytos",0,"Eurytos",0,1,1,0,1
1633,"hécatonchire brise-crâne",0,"hécatonchires brise-crâne",0,1,1,0,0
1634,"hécatonchire tranche-dos",0,"hécatonchires tranche-dos",0,1,1,0,0
1635,"hécatonchire crève-oreilles",0,"hécatonchires crève-oreilles",0,1,1,0,0
1636,"hécatonchire tambour-écu",0,"hécatonchires tambour-écu",0,1,1,0,0
1637,"Égéon",0,"Égéon",0,1,1,0,1
1638,"chasseur draguêpe",0,"chasseurs draguêpes",0,0,1,0,0
1639,"œil-de-dragon",0,"yeux-de-dragon",0,1,1,0,0
1640,"Y'mhitra l'instruite",0,"Y'mhitra l'instruite",0,0,1,1,1
1641,"roi bombardo",0,"rois bombardos",0,0,1,0,0
